U+2CF5E	𬽞	ynyhl
U+2CF5F	𬽟	ykhlc
U+2CF60	𬽠	yvfe
U+2CF61	𬽡	nono,xxnon
U+2CF62	𬽢	osu,xosu
U+2CF63	𬽣	ommn,xommn
U+2CF64	𬽤	qo,xxqo
U+2CF65	𬽥	omy
U+2CF66	𬽦	okni,oknk
U+2CF67	𬽧	ono,xono
U+2CF68	𬽨	ool,xxool
U+2CF69	𬽩	okp
U+2CF6A	𬽪	oa,xoa
U+2CF6B	𬽫	oyj
U+2CF6C	𬽬	ohs,ois
U+2CF6D	𬽭	odk
U+2CF6E	𬽮	omjb
U+2CF6F	𬽯	osr
U+2CF70	𬽰	ohjn,omjn
U+2CF71	𬽱	orms
U+2CF72	𬽲	oopd
U+2CF73	𬽳	ohnb,xxohn
U+2CF74	𬽴	ohke
U+2CF75	𬽵	oodi,xoodi
U+2CF76	𬽶	ojhn
U+2CF77	𬽷	oii,xxoii
U+2CF78	𬽸	ojy
U+2CF79	𬽹	ore
U+2CF7A	𬽺	oheh,xoheh
U+2CF7B	𬽻	okf
U+2CF7C	𬽼	oidm,xoidm
U+2CF7D	𬽽	obmr,xobmr
U+2CF7E	𬽾	ooym,xooym
U+2CF7F	𬽿	oop
U+2CF80	𬾀	oooo
U+2CF81	𬾁	oyiu
U+2CF82	𬾂	oimy,olmy,xoimy,xolmy
U+2CF83	𬾃	oyvk
U+2CF84	𬾄	oiyk
U+2CF85	𬾅	ojru
U+2CF86	𬾆	ogis
U+2CF87	𬾇	omob
U+2CF88	𬾈	omhl
U+2CF89	𬾉	ogyo
U+2CF8A	𬾊	oman
U+2CF8B	𬾋	orsn,xorsn
U+2CF8C	𬾌	oupp,xoupp
U+2CF8D	𬾍	ompd
U+2CF8E	𬾎	oub
U+2CF8F	𬾏	ohql
U+2CF90	𬾐	ohau
U+2CF91	𬾑	oobn
U+2CF92	𬾒	ohdn,xohdn
U+2CF93	𬾓	ohli
U+2CF94	𬾔	ojhk
U+2CF95	𬾕	oymr,xoymr
U+2CF96	𬾖	oifm
U+2CF97	𬾗	oyok,xxoyo
U+2CF98	𬾘	onoo,xonoo
U+2CF99	𬾙	osmb
U+2CF9A	𬾚	opuu
U+2CF9B	𬾛	oad
U+2CF9C	𬾜	oyme
U+2CF9D	𬾝	okkb,xxokk
U+2CF9E	𬾞	oyhl
U+2CF9F	𬾟	ohsl,xohsl
U+2CFA0	𬾠	ophp
U+2CFA1	𬾡	ofpd
U+2CFA2	𬾢	oede
U+2CFA3	𬾣	ofbd,xofbd
U+2CFA4	𬾤	onom
U+2CFA5	𬾥	ofpd,xofpd
U+2CFA6	𬾦	okri,xokri
U+2CFA7	𬾧	oeee
U+2CFA8	𬾨	oheb
U+2CFA9	𬾩	onjm,onkm,xxonk
U+2CFAA	𬾪	omis,xomis
U+2CFAB	𬾫	omin
U+2CFAC	𬾬	oyic,oyid,xoyid
U+2CFAD	𬾭	ojkr,xojkr
U+2CFAE	𬾮	oman,xoman
U+2CFAF	𬾯	otoi
U+2CFB0	𬾰	oahm
U+2CFB1	𬾱	olhu,xolhu
U+2CFB2	𬾲	onus
U+2CFB3	𬾳	ohqj,xohqj
U+2CFB4	𬾴	ooik
U+2CFB5	𬾵	ooos
U+2CFB6	𬾶	oorg
U+2CFB7	𬾷	ocmo,otpo	[u]
U+2CFB8	𬾸	opgi
U+2CFB9	𬾹	ocsc
U+2CFBA	𬾺	ttoii,ttoml
U+2CFBB	𬾻	oyrn,oyru,xoyrn,xoyru
U+2CFBC	𬾼	ojhr
U+2CFBD	𬾽	ojwp,xojwp
U+2CFBE	𬾾	ogit,xogit
U+2CFBF	𬾿	okrb,xokrb
U+2CFC0	𬿀	otor
U+2CFC1	𬿁	otyu
U+2CFC2	𬿂	oano
U+2CFC3	𬿃	olpd
U+2CFC4	𬿄	owlu
U+2CFC5	𬿅	obhi,obhm
U+2CFC6	𬿆	ohye
U+2CFC7	𬿇	ockn
U+2CFC8	𬿈	ooge
U+2CFC9	𬿉	oht,xoht
U+2CFCA	𬿊	ohud
U+2CFCB	𬿋	oljnk
U+2CFCC	𬿌	ouie
U+2CFCD	𬿍	ohsg,oisg,xohsg,xoisg
U+2CFCE	𬿎	yyomm
U+2CFCF	𬿏	ovvr
U+2CFD0	𬿐	odim
U+2CFD1	𬿑	omwi,omwl,xomwi,xomwl
U+2CFD2	𬿒	omkk
U+2CFD3	𬿓	owim
U+2CFD4	𬿔	olke
U+2CFD5	𬿕	oumg
U+2CFD6	𬿖	oypm,xxoyp
U+2CFD7	𬿗	oltb
U+2CFD8	𬿘	ohnd
U+2CFD9	𬿙	ookg
U+2CFDA	𬿚	oixp
U+2CFDB	𬿛	oile,xoile
U+2CFDC	𬿜	othu,otqu,xotqu
U+2CFDD	𬿝	ojyj,xojyj
U+2CFDE	𬿞	oycb,xoycb
U+2CFDF	𬿟	ojye
U+2CFE0	𬿠	viom
U+2CFE1	𬿡	otog,xxoto
U+2CFE2	𬿢	ojiv
U+2CFE3	𬿣	oqbk
U+2CFE4	𬿤	osai
U+2CFE5	𬿥	ommd
U+2CFE6	𬿦	ommc
U+2CFE7	𬿧	olhg,olog,xolhg,xolog
U+2CFE8	𬿨	oymm,xoymm
U+2CFE9	𬿩	olhc,oloc
U+2CFEA	𬿪	ohbk
U+2CFEB	𬿫	oyog
U+2CFEC	𬿬	orso
U+2CFED	𬿭	odqn,xodqn
U+2CFEE	𬿮	oybk
U+2CFEF	𬿯	oirp,xoirp
U+2CFF0	𬿰	omgc,xomgc
U+2CFF1	𬿱	optf
U+2CFF2	𬿲	ombe
U+2CFF3	𬿳	oymh,xoymh
U+2CFF4	𬿴	ouif
U+2CFF5	𬿵	oltco
U+2CFF6	𬿶	oogh
U+2CFF7	𬿷	olnoi
U+2CFF8	𬿸	ooci
U+2CFF9	𬿹	ohau
U+2CFFA	𬿺	ojnf
U+2CFFB	𬿻	oqmi
U+2CFFC	𬿼	ombd
U+2CFFD	𬿽	otwm
U+2CFFE	𬿾	oltd
U+2CFFF	𬿿	ohgf,xohgf
U+2D000	𭀀	ojac
U+2D001	𭀁	ojim
U+2D002	𭀂	ogrc
U+2D003	𭀃	tolwk
U+2D004	𭀄	ojhf
U+2D005	𭀅	ovid
U+2D006	𭀆	omtc,xomtc
U+2D007	𭀇	ogrf,xogrf
U+2D008	𭀈	owhf
U+2D009	𭀉	ohef,ookf,xohef,xookf
U+2D00A	𭀊	ohaf,xxoha
U+2D00B	𭀋	otgs,xotgs
U+2D00C	𭀌	oyag
U+2D00D	𭀍	ombd
U+2D00E	𭀎	obpd
U+2D00F	𭀏	okak
U+2D010	𭀐	oltof
U+2D011	𭀑	oyrm
U+2D012	𭀒	otqr
U+2D013	𭀓	oswu
U+2D014	𭀔	osei
U+2D015	𭀕	oofbb
U+2D016	𭀖	mui,xmui
U+2D017	𭀗	vhiu
U+2D018	𭀘	vvhu
U+2D019	𭀙	ovhu
