U+34DB	㓛	msh
U+34DC	㓜	vish
U+34DD	㓝	ttln,xttln
U+34DE	㓞	qjsh
U+34DF	㓟	deln
U+34E0	㓠	xyrln,yrln
U+34E1	㓡	ouln,xouln
U+34E2	㓢	hrln,xxhrl
U+34E3	㓣	orln,xorln
U+34E4	㓤	grln
U+34E5	㓥	fsln
U+34E6	㓦	maln
U+34E7	㓧	orln,xxorl
U+34E8	㓨	koln
U+34E9	㓩	nbln,xnbln
U+34EA	㓪	iish,ivsh
U+34EB	㓫	kjln,ktln,xktln
U+34EC	㓬	fhln
U+34ED	㓭	avln
U+34EE	㓮	brln
U+34EF	㓯	vwln
U+34F0	㓰	muln,xmuln
U+34F1	㓱	onln,ovln
U+34F2	㓲	hbln,ibln,xhbln
U+34F3	㓳	aoln
U+34F4	㓴	mkln
U+34F5	㓵	rsln,xxrsl
U+34F6	㓶	qkln
U+34F7	㓷	hdln
U+34F8	㓸	rmln
U+34F9	㓹	mfln,xmfln
U+34FA	㓺	xykln,ykln
U+34FB	㓻	wmln
U+34FC	㓼	deln,xdeln
U+34FD	㓽	ufln
U+34FE	㓾	sqln
U+34FF	㓿	heln
U+3500	㔀	afln
U+3501	㔁	ntln
U+3502	㔂	fqln,xfqln
U+3503	㔃	vush
U+3504	㔄	mdln
U+3505	㔅	lxln
U+3506	㔆	kaln	[Ou],maln,xmaln
U+3507	㔇	neln,xneln
U+3508	㔈	tyln
U+3509	㔉	sbln,xsbln
U+350A	㔊	xymln,ymln
U+350B	㔋	stln
U+350C	㔌	soln
U+350D	㔍	htln,xxhtl
U+350E	㔎	ujsh
U+350F	㔏	mrln,xmrln
U+3510	㔐	hmln
U+3511	㔑	tjsh
U+3512	㔒	ubln,xxubl
U+3513	㔓	hjks
U+3514	㔔	krr
U+3515	㔕	onks
U+3516	㔖	krn,xkrn
U+3517	㔗	lnks
U+3518	㔘	uuks
U+3519	㔙	ttks,yjyjs
U+351A	㔚	hrks,xxhrk
U+351B	㔛	grks,xgrks
U+351C	㔜	bdks
U+351D	㔝	mbks,xmbks
U+351E	㔞	hpks
U+351F	㔟	hiks,hkks,xhkks
U+3520	㔠	avks
U+3521	㔡	hpks,xhpks
U+3522	㔢	vuks
U+3523	㔣	wwks
U+3524	㔤	jwks
U+3525	㔥	wpks
U+3526	㔦	tvks,xtvks
U+3527	㔧	ytks
U+3528	㔨	plpb
U+3529	㔩	pgit
U+352A	㔪	pywi
U+352B	㔫	kp,xkp
U+352C	㔬	paj
U+352D	㔭	pamo,xpamo
U+352E	㔮	toibp
U+352F	㔯	scr,shnr
U+3530	㔰	sniy
U+3531	㔱	shxo
U+3532	㔲	soin,sosn
U+3533	㔳	soin,sosn,xsoin,xsosn
U+3534	㔴	swtc
U+3535	㔵	sruc,srvc
U+3536	㔶	syjc
U+3537	㔷	smob
U+3538	㔸	shyn,shyu
U+3539	㔹	jks
U+353A	㔺	jpj
U+353B	㔻	mfj,xmfj
U+353C	㔼	qgj
U+353D	㔽	xxywr,ywr
U+353E	㔾	su,xxsu
U+353F	㔿	mvl
U+3540	㕀	lwsu
U+3541	㕁	kisl
U+3542	㕂	moin
U+3543	㕃	mmjj,mmkj,mmt
U+3544	㕄	mmvi
U+3545	㕅	mwl
U+3546	㕆	mjr,xmjr
U+3547	㕇	myt
U+3548	㕈	myhv
U+3549	㕉	momr
U+354A	㕊	mijb
U+354B	㕋	mc
U+354C	㕌	mami
U+354D	㕍	mog,xmog
U+354E	㕎	mgit
U+354F	㕏	mmtj
U+3550	㕐	mhxf
U+3551	㕑	mgti
U+3552	㕒	mtgi
U+3553	㕓	mwgg,xmwgg
U+3554	㕔	msgp
U+3555	㕕	ii,xxxii
U+3556	㕖	iiid
U+3557	㕗	toi,xtoi
U+3558	㕘	iiif,xiiif
U+3559	㕙	ienai,ieshi
U+355A	㕚	eii,xeii
U+355B	㕛	ee,xxxee
U+355C	㕜	le,xle
U+355D	㕝	jre
U+355E	㕞	sbe
U+355F	㕟	ybe
U+3560	㕠	ige
U+3561	㕡	yre
U+3562	㕢	xyce,yce
U+3563	㕣	cr,xcr
U+3564	㕤	rkn,xrkn
U+3565	㕥	ro,xro
U+3566	㕦	rk
U+3567	㕧	rs
U+3568	㕨	rhni
U+3569	㕩	rqj
U+356A	㕪	rlbu
U+356B	㕫	ryhs
U+356C	㕬	rci
U+356D	㕭	rhk
U+356E	㕮	rck
U+356F	㕯	obr
U+3570	㕰	rhqu
U+3571	㕱	riku
U+3572	㕲	rd,xrd
U+3573	㕳	ruk
U+3574	㕴	rbhn
U+3575	㕵	rmg,xrmg
U+3576	㕶	rmdm
U+3577	㕷	rha
U+3578	㕸	ryt
U+3579	㕹	rike,rikk
U+357A	㕺	rrmvs
U+357B	㕻	yfr
U+357C	㕼	rpvk
U+357D	㕽	rvio
U+357E	㕾	frp
U+357F	㕿	hdr,xhdr
U+3580	㖀	rlq
U+3581	㖁	rkki
U+3582	㖂	rlwp
U+3583	㖃	rhmr
U+3584	㖄	rhll,rill,rmll
U+3585	㖅	rihm
U+3586	㖆	rtw,xrtw
U+3587	㖇	rmbl
U+3588	㖈	jpr
U+3589	㖉	roym
U+358A	㖊	rsmi,xrsmi
U+358B	㖋	ollp
U+358C	㖌	onrp
U+358D	㖍	yjrp
U+358E	㖎	rpoll
U+358F	㖏	rag
U+3590	㖐	rrsk
U+3591	㖑	rit
U+3592	㖒	rcnh
U+3593	㖓	rhej
U+3594	㖔	rhkr,rmkr
U+3595	㖕	rytj
U+3596	㖖	xyjr,yjr
U+3597	㖗	ruon
U+3598	㖘	rmmv
U+3599	㖙	krrp
U+359A	㖚	oirp
U+359B	㖛	jrrp,xjrrp
U+359C	㖜	yrrp
U+359D	㖝	jdrp
U+359E	㖞	rrob
U+359F	㖟	rbbe,xxrbb
U+35A0	㖠	rkmf
U+35A1	㖡	ryok
U+35A2	㖢	riyp
U+35A3	㖣	rytr
U+35A4	㖤	rune
U+35A5	㖥	rwhd
U+35A6	㖦	rdw
U+35A7	㖧	rhpa
U+35A8	㖨	rnme,rvne
U+35A9	㖩	rsje,xrsje
U+35AA	㖪	rirm
U+35AB	㖫	rgce
U+35AC	㖬	rhxe,xrhxe
U+35AD	㖭	rhkp,rmkp
U+35AE	㖮	romb
U+35AF	㖯	brrp
U+35B0	㖰	rpbmr
U+35B1	㖱	yokr
U+35B2	㖲	vrrp
U+35B3	㖳	evrp
U+35B4	㖴	rtph
U+35B5	㖵	rbmc
U+35B6	㖶	rmwg,xrmwg
U+35B7	㖷	ramo
U+35B8	㖸	rypm,xrypm
U+35B9	㖹	rcst
U+35BA	㖺	rqka
U+35BB	㖻	rnhd
U+35BC	㖼	rtmd
U+35BD	㖽	rmbc,xrmbc
U+35BE	㖾	rrtu
U+35BF	㖿	rsjl
U+35C0	㗀	ruvi
U+35C1	㗁	rrrs
U+35C2	㗂	rfhu
U+35C3	㗃	rrpa
U+35C4	㗄	rwls
U+35C5	㗅	rjrb
U+35C6	㗆	rtlj
U+35C7	㗇	rrse
U+35C8	㗈	rnbs
U+35C9	㗉	qhher
U+35CA	㗊	rrrr,xrrrr
U+35CB	㗋	rnmk
U+35CC	㗌	rjmg
U+35CD	㗍	rhda
U+35CE	㗎	rkrd
U+35CF	㗏	rmfm,xrmfm
U+35D0	㗐	rkit
U+35D1	㗑	rhqj
U+35D2	㗒	ryrv,xryrv
U+35D3	㗓	ryhr
U+35D4	㗔	rypk,xrypk
U+35D5	㗕	rttb
U+35D6	㗖	rbhx
U+35D7	㗗	rshwj
U+35D8	㗘	ribi
U+35D9	㗙	rpuu
U+35DA	㗚	rmwd,xrmwd
U+35DB	㗛	rhhk
U+35DC	㗜	ryvw
U+35DD	㗝	rtgf
U+35DE	㗞	rmre
U+35DF	㗟	egrp
U+35E0	㗠	vrrp,xvrrp
U+35E1	㗡	tosp
U+35E2	㗢	rhgs
U+35E3	㗣	rkpb
U+35E4	㗤	ifr,xifr
U+35E5	㗥	rydl,xrydl
U+35E6	㗦	rsjl,xrsjl
U+35E7	㗧	rjcg
U+35E8	㗨	ser
U+35E9	㗩	rsma
U+35EA	㗪	rypf
U+35EB	㗫	rbof
U+35EC	㗬	fbrnn
U+35ED	㗭	rhdp
U+35EE	㗮	nrilo
U+35EF	㗯	jarp
U+35F0	㗰	rhoo,xrhoo
U+35F1	㗱	rogd
U+35F2	㗲	rlgm
U+35F3	㗳	rhor
U+35F4	㗴	ranb
U+35F5	㗵	rffo
U+35F6	㗶	rnoe
U+35F7	㗷	rjto,xrjto
U+35F8	㗸	rhon,xrhon
U+35F9	㗹	rogp
U+35FA	㗺	rhky,rmky
U+35FB	㗻	rybb,xrybb
U+35FC	㗼	rtcd
U+35FD	㗽	vlr
U+35FE	㗾	rtjp
U+35FF	㗿	ranr
U+3600	㘀	rhxd
U+3601	㘁	rwlj
U+3602	㘂	rtvp
U+3603	㘃	rtkp
U+3604	㘄	rdws
U+3605	㘅	rhon,xxrho
U+3606	㘆	rgrg
U+3607	㘇	rffd
U+3608	㘈	rpko
U+3609	㘉	rhal,rhhl
U+360A	㘊	rmbr
U+360B	㘋	rsec
U+360C	㘌	ryon
U+360D	㘍	rfgi
U+360E	㘎	rlsk
U+360F	㘏	yurp
U+3610	㘐	rsfk
U+3611	㘑	rgfe
U+3612	㘒	hgrp
U+3613	㘓	ranw
U+3614	㘔	rjtc,xrjtc
U+3615	㘕	rtst
U+3616	㘖	ryhc,xryhc
U+3617	㘗	rbug
U+3618	㘘	vfr,xvfr
U+3619	㘙	rrrk
U+361A	㘚	rank
U+361B	㘛	rorp
U+361C	㘜	ogr
U+361D	㘝	we,xwe
U+361E	㘞	wks,xwks
U+361F	㘟	wt
U+3620	㘠	wph
U+3621	㘡	wwl
U+3622	㘢	wfmu
U+3623	㘣	wrb
U+3624	㘤	well
U+3625	㘥	wbuf
U+3626	㘦	gks
U+3627	㘧	gnin,xgnin
U+3628	㘨	gob
U+3629	㘩	gpp
U+362A	㘪	ghqu
U+362B	㘫	gtt,xgtt
U+362C	㘬	gpi,xgpi
U+362D	㘭	gvis,xgvis
U+362E	㘮	gso
U+362F	㘯	goks,xgoks
U+3630	㘰	gyj
U+3631	㘱	ggb
U+3632	㘲	gskn
U+3633	㘳	lpg
U+3634	㘴	rog,xrog
U+3635	㘵	gklb
U+3636	㘶	nqg
U+3637	㘷	gtk
U+3638	㘸	mpg
U+3639	㘹	xypg,ypg
U+363A	㘺	goi
U+363B	㘻	gwk
U+363C	㘼	gjks
U+363D	㘽	jig
U+363E	㘾	gjmd
U+363F	㘿	gag
U+3640	㙀	gjcn
U+3641	㙁	gowy
U+3642	㙂	gcru
U+3643	㙃	gomc
U+3644	㙄	gppg
U+3645	㙅	grd
U+3646	㙆	gjki
U+3647	㙇	gmso
U+3648	㙈	gypn,gypu
U+3649	㙉	gtbc
U+364A	㙊	gsmv
U+364B	㙋	gtmc,xgtmc
U+364C	㙌	glll,xglll
U+364D	㙍	geee
U+364E	㙎	gihv
U+364F	㙏	goae
U+3650	㙐	gumb
U+3651	㙑	hbg,xhbg
U+3652	㙒	wng,xwng
U+3653	㙓	gggg
U+3654	㙔	gdmq
U+3655	㙕	gwb
U+3656	㙖	ghlb
U+3657	㙗	gwmv
U+3658	㙘	gmwv
U+3659	㙙	ehg
U+365A	㙚	gtgq
U+365B	㙛	gibi
U+365C	㙜	yrbg
U+365D	㙝	gksb
U+365E	㙞	ghud
U+365F	㙟	giib,givb
U+3660	㙠	seg
U+3661	㙡	ghoo
U+3662	㙢	gtlb
U+3663	㙣	gnsv
U+3664	㙤	gypd
U+3665	㙥	gycv,xgycv
U+3666	㙦	ojg
U+3667	㙧	gmlw
U+3668	㙨	gvii,gvik
U+3669	㙩	gkcf
U+366A	㙪	ggbt
U+366B	㙫	gogd
U+366C	㙬	dkg
U+366D	㙭	gmto
U+366E	㙮	ghor
U+366F	㙯	gimmi,gkmmi
U+3670	㙰	nqg,xnqg
U+3671	㙱	rng,rug,xrng
U+3672	㙲	gyvg
U+3673	㙳	girp,xgirp
U+3674	㙴	gncr
U+3675	㙵	gyrg
U+3676	㙶	yrfg
U+3677	㙷	gavf
U+3678	㙸	goto
U+3679	㙹	gtwn
U+367A	㙺	gslc
U+367B	㙻	giwg
U+367C	㙼	gwww
U+367D	㙽	gkma
U+367E	㙾	ghbd
U+367F	㙿	gtgs
U+3680	㚀	gyti
U+3681	㚁	guggu
U+3682	㚂	gjbv,xgjbv
U+3683	㚃	gbut
U+3684	㚄	gbwo
U+3685	㚅	hemhm,okmhm
U+3686	㚆	yahe
U+3687	㚇	uche
U+3688	㚈	nij
U+3689	㚉	nsnin
U+368A	㚊	nnyvo
U+368B	㚋	nnbgr,nnbqr
U+368C	㚌	nnwd
U+368D	㚍	nnlmc
U+368E	㚎	ku,xxku
U+368F	㚏	kt,xkt
U+3690	㚐	kk,xxkk
U+3691	㚑	smk
U+3692	㚒	koo,xxkoo
U+3693	㚓	kd,xxkd
U+3694	㚔	ktj
U+3695	㚕	klln,xklln
U+3696	㚖	hak
U+3697	㚗	kbm,xkbm
U+3698	㚘	qoqo
U+3699	㚙	krk
U+369A	㚚	knir
U+369B	㚛	kpa
U+369C	㚜	kirm
U+369D	㚝	kogg
U+369E	㚞	kdd,xkdd
U+369F	㚟	nrppk
U+36A0	㚠	ktgf
U+36A1	㚡	krkmr
U+36A2	㚢	ov
U+36A3	㚣	vv,xxvv
U+36A4	㚤	vip
U+36A5	㚥	vmd,xvmd
U+36A6	㚦	vml
U+36A7	㚧	vi,xxvi
U+36A8	㚨	vnj,vnk
U+36A9	㚩	vbmm
U+36AA	㚪	vhqu
U+36AB	㚫	vnhe
U+36AC	㚬	vpim,vpmm
U+36AD	㚭	viku
U+36AE	㚮	vbhn,vbhu
U+36AF	㚯	vhnk
U+36B0	㚰	vmfm
U+36B1	㚱	vom
U+36B2	㚲	vyr
U+36B3	㚳	vksr
U+36B4	㚴	vklb
