U+2B7FC	𫟼	opyk
U+2B7FD	𫟽	ophjp
U+2B7FE	𫟾	ophem
U+2B7FF	𫟿	optqm
U+2B800	𫠀	opmta
U+2B801	𫠁	optgt
U+2B802	𫠂	lsoii
U+2B803	𫠃	nlatc
U+2B804	𫠄	dqyvo
U+2B805	𫠅	qstlj
U+2B806	𫠆	jembo
U+2B807	𫠇	hnyk
U+2B808	𫠈	hnph
U+2B809	𫠉	sqsm
U+2B80A	𫠊	nmyvi
U+2B80B	𫠋	nmixp
U+2B80C	𫠌	nmmfn
U+2B80D	𫠍	nfcj
U+2B80E	𫠎	nfmwc
U+2B80F	𫠏	nmd
U+2B810	𫠐	nmtm
U+2B811	𫠑	nmhxe
U+2B812	𫠒	nmytj
U+2B813	𫠓	haym
U+2B814	𫠔	nphaf
U+2B815	𫠕	iogf
U+2B816	𫠖	kipym
U+2B817	𫠗	ywomo
U+2B818	𫠘	fnlw
U+2B819	𫠙	yuhne
U+2B81A	𫠚	yupr
U+2B81B	𫠛	yuahm
U+2B81C	𫠜	yuhxu
U+2B81D	𫠝	fknwu
