U+2A7C4	𪟄	tuln
U+2A7C5	𪟅	imdkn
U+2A7C6	𪟆	ybln
U+2A7C7	𪟇	hcln
U+2A7C8	𪟈	jaln
U+2A7C9	𪟉	ksln
U+2A7CA	𪟊	mcsh
U+2A7CB	𪟋	tjln
U+2A7CC	𪟌	gtln
U+2A7CD	𪟍	ybln
U+2A7CE	𪟎	ltln
U+2A7CF	𪟏	hgln
U+2A7D0	𪟐	chbsd,chnsd
U+2A7D1	𪟑	yrcsh
U+2A7D2	𪟒	ysokn
U+2A7D3	𪟓	shndp
U+2A7D4	𪟔	wrln
U+2A7D5	𪟕	hcln
U+2A7D6	𪟖	ltln
U+2A7D7	𪟗	krmn
U+2A7D8	𪟘	omks
U+2A7D9	𪟙	aiks
U+2A7DA	𪟚	nrks
U+2A7DB	𪟛	eiks,ekks
U+2A7DC	𪟜	ehks
U+2A7DD	𪟝	qoks
U+2A7DE	𪟞	wsdh
U+2A7DF	𪟟	nuks
U+2A7E0	𪟠	yaks
U+2A7E1	𪟡	wsmnr
U+2A7E2	𪟢	ctks,ttks
U+2A7E3	𪟣	rbks
U+2A7E4	𪟤	mtwks
U+2A7E5	𪟥	tjks
U+2A7E6	𪟦	wsog
U+2A7E7	𪟧	wkss
U+2A7E8	𪟨	up
U+2A7E9	𪟩	pmk
U+2A7EA	𪟪	lpmf
U+2A7EB	𪟫	pphag
U+2A7EC	𪟬	sb
U+2A7ED	𪟭	ssls
U+2A7EE	𪟮	sknsh
U+2A7EF	𪟯	swg
U+2A7F0	𪟰	sohr
U+2A7F1	𪟱	sfdw
U+2A7F2	𪟲	syjo
U+2A7F3	𪟳	ojnl
U+2A7F4	𪟴	jjon
U+2A7F5	𪟵	jjkni,jjknk
U+2A7F6	𪟶	fqfbr
U+2A7F7	𪟷	yjihq
U+2A7F8	𪟸	fqybs
U+2A7F9	𪟹	jfoii,jfoml
U+2A7FA	𪟺	jjomn,jjomv
U+2A7FB	𪟻	ogj
U+2A7FC	𪟼	yjruc
U+2A7FD	𪟽	ynn
U+2A7FE	𪟾	jdy
U+2A7FF	𪟿	yjy
U+2A800	𪠀	yoeg
U+2A801	𪠁	orsl
U+2A802	𪠂	eail,ehpl,ehsl
U+2A803	𪠃	mnvm
U+2A804	𪠄	mlwu,mlwv
U+2A805	𪠅	mgr
U+2A806	𪠆	mtt,myjj
U+2A807	𪠇	mglc
U+2A808	𪠈	mrlu
U+2A809	𪠉	mmnl
U+2A80A	𪠊	mak
U+2A80B	𪠋	mjbm,mjbv
U+2A80C	𪠌	mpmo
U+2A80D	𪠍	msmv
U+2A80E	𪠎	mcip
U+2A80F	𪠏	mike
U+2A810	𪠐	mogm
U+2A811	𪠑	mibi
U+2A812	𪠒	mbtu
U+2A813	𪠓	mtlc,mtmc
U+2A814	𪠔	mhpe
U+2A815	𪠕	mpog
U+2A816	𪠖	mtco
U+2A817	𪠗	hdir,mdir
U+2A818	𪠘	mnbq
U+2A819	𪠙	mybu
U+2A81A	𪠚	mhdw
U+2A81B	𪠛	mrrk
U+2A81C	𪠜	kihnb,yihnb
U+2A81D	𪠝	gisp
U+2A81E	𪠞	nngi
U+2A81F	𪠟	ihlbu
U+2A820	𪠠	ikyvo
U+2A821	𪠡	ihmob
U+2A822	𪠢	giitc
U+2A823	𪠣	ke
U+2A824	𪠤	she
U+2A825	𪠥	eb
U+2A826	𪠦	mge
U+2A827	𪠧	mwe
U+2A828	𪠨	hxe
U+2A829	𪠩	ofe
U+2A82A	𪠪	rsee
U+2A82B	𪠫	tkhe,tkme
U+2A82C	𪠬	sre
U+2A82D	𪠭	henlm,menlm
U+2A82E	𪠮	jre
U+2A82F	𪠯	sre
U+2A830	𪠰	eeeen
U+2A831	𪠱	segii,segik,segio
U+2A832	𪠲	re
U+2A833	𪠳	rkq
U+2A834	𪠴	rpk
U+2A835	𪠵	rop
U+2A836	𪠶	rog
U+2A837	𪠷	lkr
U+2A838	𪠸	rhvd
U+2A839	𪠹	ifr,mmfr
U+2A83A	𪠺	rqki,rqkk
U+2A83B	𪠻	rkiv,ryiu,ryiv
