U+2B8D3	𫣓	ohoi,xohoi
U+2B8D4	𫣔	onqw
U+2B8D5	𫣕	obmw
U+2B8D6	𫣖	onsv
U+2B8D7	𫣗	omwj
U+2B8D8	𫣘	orqjj
U+2B8D9	𫣙	dtjlk
U+2B8DA	𫣚	jkdt
U+2B8DB	𫣛	omomm
U+2B8DC	𫣜	ojwp
U+2B8DD	𫣝	obomg
U+2B8DE	𫣞	oypc,oypm	[u],xoypm	[u]
U+2B8DF	𫣟	otpd,xotpd
U+2B8E0	𫣠	oora
U+2B8E1	𫣡	ojmw
U+2B8E2	𫣢	oyci
U+2B8E3	𫣣	omri
U+2B8E4	𫣤	otdq
U+2B8E5	𫣥	otyb
U+2B8E6	𫣦	otyn
U+2B8E7	𫣧	owlm	[u],owlv
U+2B8E8	𫣨	obul,obun
U+2B8E9	𫣩	oydl
U+2B8EA	𫣪	ohbh	[u],oibh,xohbh	[u],xoibh
U+2B8EB	𫣫	ofvk
U+2B8EC	𫣬	oyrf,xoyrf
U+2B8ED	𫣭	opwtc
U+2B8EE	𫣮	omde
U+2B8EF	𫣯	odhdn
U+2B8F0	𫣰	olle
U+2B8F1	𫣱	obhio
U+2B8F2	𫣲	ojbc,xojbc
U+2B8F3	𫣳	oddv
U+2B8F4	𫣴	osec
U+2B8F5	𫣵	ovic
U+2B8F6	𫣶	ohgy,ohqy	[u]
U+2B8F7	𫣷	ojti
U+2B8F8	𫣸	ocag
U+2B8F9	𫣹	orhkb
U+2B8FA	𫣺	oqbd
U+2B8FB	𫣻	odlc
U+2B8FC	𫣼	ombd
U+2B8FD	𫣽	otlst
U+2B8FE	𫣾	otof
U+2B8FF	𫣿	wcop
U+2B900	𫤀	ouhc
U+2B901	𫤁	ofbm,ofbv	[u],xofbm
U+2B902	𫤂	ohxc,xohxc
U+2B903	𫤃	osjg
U+2B904	𫤄	ojkg
U+2B905	𫤅	olndf
U+2B906	𫤆	orsme
U+2B907	𫤇	oywv,xxoyw
U+2B908	𫤈	oryav
U+2B909	𫤉	opmr
U+2B90A	𫤊	mwomw
U+2B90B	𫤋	yrohl
U+2B90C	𫤌	omhk
U+2B90D	𫤍	omgb
U+2B90E	𫤎	ochom
U+2B90F	𫤏	opml
U+2B910	𫤐	ohoo,xohoo
U+2B911	𫤑	ohbe	[u],oibe
U+2B912	𫤒	opmd
U+2B913	𫤓	opmv
U+2B914	𫤔	offf
U+2B915	𫤕	opmf,xopmf
U+2B916	𫤖	ourk
U+2B917	𫤗	vahu,xvahu
U+2B918	𫤘	hwlu
U+2B919	𫤙	mujp
U+2B91A	𫤚	fuoii,fuoml	[u]
U+2B91B	𫤛	cuqj
U+2B91C	𫤜	rucnh
U+2B91D	𫤝	lsrhu
U+2B91E	𫤞	muthu
U+2B91F	𫤟	ruhag
U+2B920	𫤠	huapp,xhuap
U+2B921	𫤡	fuwvf
U+2B922	𫤢	huyhm,huykm	[u]
U+2B923	𫤣	gugr
U+2B924	𫤤	fuorn
U+2B925	𫤥	fuaog
U+2B926	𫤦	fuggu
U+2B927	𫤧	muuku
U+2B928	𫤨	fuatj
U+2B929	𫤩	obsmn
U+2B92A	𫤪	ogomg
U+2B92B	𫤫	cmls,xcmls
U+2B92C	𫤬	lmoo
U+2B92D	𫤭	hbkc
U+2B92E	𫤮	chxl
U+2B92F	𫤯	ihc
U+2B930	𫤰	llyc
U+2B931	𫤱	tcnq,xtcnq
U+2B932	𫤲	crjw,cryw	[u]
U+2B933	𫤳	codj
U+2B934	𫤴	tcytj
U+2B935	𫤵	vlndc	[u],vnndc
U+2B936	𫤶	yabtc
U+2B937	𫤷	bugi
U+2B938	𫤸	bmbu
U+2B939	𫤹	bmmv
U+2B93A	𫤺	boir
U+2B93B	𫤻	bwlv
U+2B93C	𫤼	bbwi,xbbwi
U+2B93D	𫤽	byjo
U+2B93E	𫤾	imn,ximn
U+2B93F	𫤿	immd
U+2B940	𫥀	imjb
U+2B941	𫥁	imhml
U+2B942	𫥂	imb,ximb
U+2B943	𫥃	imsk
U+2B944	𫥄	imyr
U+2B945	𫥅	imlbk
U+2B946	𫥆	imine
U+2B947	𫥇	imie
U+2B948	𫥈	imshr
U+2B949	𫥉	impa
U+2B94A	𫥊	imnmu
U+2B94B	𫥋	imav
U+2B94C	𫥌	immgt
U+2B94D	𫥍	immth
U+2B94E	𫥎	nuy
