U+2F8D0	㬈	zcawo
U+2F8D1	㫤	zcain
U+2F8D2	冒	zcabu
U+2F8D3	冕	zcana
U+2F8D4	最	zcasj
U+2F8D5	暜	zcyta
U+2F8D6	肭	zcbob
U+2F8D7	䏙	zcblb
U+2F8D8	朗	zcivb
U+2F8D9	望	zcybm
U+2F8DA	朡	zcbuc
U+2F8DB	杞	zcdsu
U+2F8DC	杓	zcdpm
U+2F8DD	𣏃	zcdl,zcdsm
U+2F8DE	㭉	zctd
U+2F8DF	柺	zcdrk
U+2F8E0	枅	zcdmj
U+2F8E1	桒	zcjtd
U+2F8E2	梅	zcdow
U+2F8E3	𣑭	zcdbb
U+2F8E4	梎	zcdha
U+2F8E5	栟	zcdyj
U+2F8E6	椔	zcdvm
U+2F8E7	㮝	zcdcr
U+2F8E8	楂	zcddb
U+2F8E9	榣	zcdbo
U+2F8EA	槪	zcdhp
U+2F8EB	檨	zcdtg
U+2F8EC	𣚣	zcdwt
U+2F8ED	櫛	zcdha
U+2F8EE	㰘	zcdsm
U+2F8EF	次	zcimn
U+2F8F0	𣢧	zchon
U+2F8F1	歔	zcycn
U+2F8F2	㱎	zcwfn
U+2F8F3	歲	zcymi
U+2F8F4	殟	zcmna
U+2F8F5	殺	zckch
U+2F8F6	殻	zcgnh
U+2F8F7	𣪍	zcsnh
U+2F8F8	𡴋	zcuwy
U+2F8F9	𣫺	zcoyk,zcoyy
U+2F8FA	汎	zcenh
U+2F8FB	𣲼	zcelb
U+2F8FC	沿	zcehn
U+2F8FD	泍	zceqc
U+2F8FE	汧	zcemj
U+2F8FF	洖	zcerv
U+2F900	派	zcehh
U+2F901	海	zceow
U+2F902	流	zceyi
U+2F903	浩	zcehq
U+2F904	浸	zcesm
U+2F905	涅	zceam
U+2F906	𣴞	zcecs
U+2F907	洴	zceyj
U+2F908	港	zcetc
U+2F909	湮	zcemw
U+2F90A	㴳	zcegi
U+2F90B	滋	zcetv
U+2F90C	滇	zcepb
U+2F90D	𣻑	zcekc
U+2F90E	淹	zcekh
U+2F90F	潮	zcejj
U+2F910	𣽞	zceah
U+2F911	𣾎	zceme
U+2F912	濆	zcejt
U+2F913	瀹	zceom
U+2F914	瀞	zceqb
U+2F915	瀛	zceyq
U+2F916	㶖	zceol
U+2F917	灊	zceku
U+2F918	災	zcvmf
U+2F919	灷	zcft
U+2F91A	炭	zcukf
U+2F91B	𠔥	zctsf
U+2F91C	煅	zcfrs
U+2F91D	𤉣	zcfvm
U+2F91E	熜	zcfhw
U+2F91F	𤎫	zcfft
U+2F920	爨	zchbd
U+2F921	爵	zcbwl
U+2F922	牐	zcllh
U+2F923	𤘈	zcmhh
U+2F924	犀	zcseh
U+2F925	犕	zchqt
U+2F926	𤜵	zckhm
U+2F927	𤠔	zckhi
U+2F928	獺	zckhd
U+2F929	王	zcmg
U+2F92A	㺬	zcmgh
U+2F92B	玥	zcmgb
U+2F92C	㺸	zcokm
U+2F92D	㺸	zcokm
U+2F92E	瑇	zcmgq
U+2F92F	瑜	zcmgo
U+2F930	瑱	zcmgp
U+2F931	璅	zcmgv
U+2F932	瓊	zcmgn
U+2F933	㼛	zcmjm
U+2F934	甤	zcmoh
U+2F935	𤰶	zclwl
U+2F936	甾	zcvmw
U+2F937	𤲒	zcwtt
U+2F938	異	zcwtc
U+2F939	𢆟	zclwy
U+2F93A	瘐	zcklw
U+2F93B	𤾡	zchai
U+2F93C	𤾸	zchat
U+2F93D	𥁄	zcmms
U+2F93E	㿼	zcmjb
U+2F93F	䀈	zchub
U+2F940	直	zcjbu
U+2F941	𥃳	zcbum
U+2F942	𥃲	zcbut
U+2F943	𥄙	zcbum
U+2F944	𥄳	zcwle
U+2F945	眞	zcpbv
U+2F946	真	zcjum
U+2F947	真	zcjbu
U+2F948	睊	zcbui
U+2F949	䀹	zcbuk
U+2F94A	瞋	zcbup
U+2F94B	䁆	zcbuk
U+2F94C	䂖	zcmir
U+2F94D	𥐝	zcmrp
U+2F94E	硎	zcmrm
U+2F94F	碌	zcmrn
U+2F950	磌	zcmrj
U+2F951	䃣	zcmrb
U+2F952	𥘦	zcifo
U+2F953	祖	zcmfb
U+2F954	𥚚	zcify
U+2F955	𥛅	zcifh
U+2F956	福	zcifs
U+2F957	秫	zchdi
U+2F958	䄯	zchdm
U+2F959	穀	zcgdh
U+2F95A	穊	zchdh
U+2F95B	穏	zchdb
U+2F95C	𥥼	zcjcj
U+2F95D	𥪧	zcytp
U+2F95E	𥪧	zcytj
U+2F95F	竮	zcyts
U+2F960	䈂	zchyj
U+2F961	𥮫	zchbf
U+2F962	篆	zchsm
U+2F963	築	zchmn
U+2F964	䈧	zchbh
U+2F965	𥲀	zchvv
U+2F966	糒	zcfdt
U+2F967	䊠	zchuf
U+2F968	糨	zcfdn
U+2F969	糣	zcfdk
U+2F96A	紀	zcvfs
U+2F96B	𥾆	zcvfv
U+2F96C	絣	zcvfy
U+2F96D	䌁	zcvfm
U+2F96E	緇	zcvfv
U+2F96F	縂	zcvfc
U+2F970	繅	zcvfv
U+2F971	䌴	zcvfy
U+2F972	𦈨	zcoum
U+2F973	𦉇	zcous
U+2F974	䍙	zcwlo
U+2F975	𦋙	zcbkk
U+2F976	罺	zcwlv
U+2F977	𦌾	zcwlv
U+2F978	羕	zctgy
U+2F979	翺	zchjs
U+2F97A	者	zcjki
U+2F97B	𦓚	zchuu
U+2F97C	𦔣	zcqdi
U+2F97D	聠	zcsjy
U+2F97E	𦖨	zcdns
U+2F97F	聰	zcsjh
U+2F980	𣍟	zcbmb
U+2F981	䏕	zcbmg
U+2F982	育	zcyib
U+2F983	脃	zcbna
U+2F984	䐋	zcbci
U+2F985	脾	zcbwh
U+2F986	媵	zcbfq
U+2F987	𦞧	zcbhh
U+2F988	𦞵	zcbha
U+2F989	𣎓	zcbys
U+2F98A	𣎜	zcbrx
U+2F98B	舁	zchxt
U+2F98C	舄	zchxv
U+2F98D	辞	zcmry
U+2F98E	䑫	zchyy
U+2F98F	芑	zctsu
U+2F990	芋	zctmd
U+2F991	芝	zctin
U+2F992	劳	zctbk
U+2F993	花	zctop
U+2F994	芳	zcuuy
U+2F995	芽	zctmv
U+2F996	苦	zctjr
U+2F997	𦬼	zctnf
U+2F998	若	zctkr
U+2F999	茝	zctsl
U+2F99A	荣	zctbd
U+2F99B	莭	zctai
U+2F99C	茣	zctrm
U+2F99D	莽	zctkt
U+2F99E	菧	zctih
U+2F99F	著	zctjk
U+2F9A0	荓	zctyj
U+2F9A1	菊	zctpf
U+2F9A2	菌	zctwh
U+2F9A3	菜	zctbd
U+2F9A4	𦰶	zctgp
U+2F9A5	𦵫	zctmb
U+2F9A6	𦳕	zctaj
U+2F9A7	䔫	zctnm
U+2F9A8	蓱	zctey
U+2F9A9	蓳	zcttl
U+2F9AA	蔖	zctyp
U+2F9AB	𧏊	zctli
U+2F9AC	蕤	zctoh
U+2F9AD	𦼬	zctem
U+2F9AE	䕝	zcthd
U+2F9AF	䕡	zctan
U+2F9B0	𦾱	zctqv
U+2F9B1	𧃒	zctvf
U+2F9B2	䕫	zctyc
U+2F9B3	虐	zcyps
U+2F9B4	虜	zcypw
U+2F9B5	虧	zcygm
U+2F9B6	虩	zcffy
U+2F9B7	蚩	zcuml
U+2F9B8	蚈	zclim
U+2F9B9	蜎	zclii
U+2F9BA	蛢	zcliy
U+2F9BB	蝹	zclia
U+2F9BC	蜨	zcliy
U+2F9BD	蝫	zclij
U+2F9BE	螆	zclit
U+2F9BF	䗗	zclih
U+2F9C0	蟡	zclib
U+2F9C1	蠁	zcvll
U+2F9C2	䗹	zclit
U+2F9C3	衠	zchop
U+2F9C4	衣	zcyoo
U+2F9C5	𧙧	zclmt
U+2F9C6	裗	zclyi
U+2F9C7	裞	zclcr
U+2F9C8	䘵	zclsm
U+2F9C9	裺	zclkh
U+2F9CA	㒻	zcabu
U+2F9CB	𧢮	zcmpb
U+2F9CC	𧥦	zcyrm
U+2F9CD	䚾	zcyrm
U+2F9CE	䛇	zcyrc
U+2F9CF	誠	zcyri
U+2F9D0	諭	zcyro
U+2F9D1	變	zcvfh
U+2F9D2	豕	zcnsh
U+2F9D3	𧲨	zcbhm
U+2F9D4	貫	zcwyb
U+2F9D5	賁	zcjtb
U+2F9D6	贛	zcyjh
U+2F9D7	起	zcgos
U+2F9D8	𧼯	zcgoo
U+2F9D9	𠠄	zcgof
U+2F9DA	跋	zcrmi
U+2F9DB	趼	zcrmm
U+2F9DC	跰	zcrmy
U+2F9DD	𠣞	zcpjw
U+2F9DE	軔	zcjjs
U+2F9DF	輸	zcjjo
U+2F9E0	𨗒	zcymb
U+2F9E1	𨗭	zcyhx
U+2F9E2	邔	zcsun
U+2F9E3	郱	zcyjy
U+2F9E4	鄑	zcman
U+2F9E5	𨜮	zchhi
U+2F9E6	鄛	zcvdn
U+2F9E7	鈸	zccik
U+2F9E8	鋗	zccib
U+2F9E9	鋘	zccrv
U+2F9EA	鉼	zccyj
U+2F9EB	鏹	zccnr
U+2F9EC	鐕	zccku
U+2F9ED	𨯺	zcchx
U+2F9EE	開	zcanm
U+2F9EF	䦕	zcany
U+2F9F0	閷	zckda
U+2F9F1	𨵷	zcanw
U+2F9F2	䧦	zcnli
U+2F9F3	雃	zcmjm
U+2F9F4	嶲	zcuog
U+2F9F5	霣	zcmbi
U+2F9F6	𩅅	zcmbe
U+2F9F7	𩈚	zcmwy
U+2F9F8	䩮	zctjs
U+2F9F9	䩶	zctju
U+2F9FA	韠	zcdqw
U+2F9FB	𩐊	zcjbm
U+2F9FC	䪲	zcmum
U+2F9FD	𩒖	zcmtm
U+2F9FE	頋	zcmum
U+2F9FF	頋	zcmum
U+2FA00	頩	zcyjy
U+2FA01	𩖶	zchni
U+2FA02	飢	zcoil
U+2FA03	䬳	zcoif
U+2FA04	餩	zcoio
U+2FA05	馧	zchaa
U+2FA06	駂	zcpjs
U+2FA07	駾	zcsfc
U+2FA08	䯎	zcbbo
U+2FA09	𩬰	zcshm
U+2FA0A	鬒	zcshj
U+2FA0B	鱀	zchun
U+2FA0C	鳽	zcmjm
U+2FA0D	䳎	zchxh
U+2FA0E	䳭	zcais
U+2FA0F	鵧	zcyjy
U+2FA10	𪃎	zcovh
U+2FA11	䳸	zcich
U+2FA12	𪄅	zckeh
U+2FA13	𪈎	zcdlm
U+2FA14	𪊑	zcipm
U+2FA15	麻	zcidd
U+2FA16	䵖	zcseh
U+2FA17	黹	zctmf
U+2FA18	黾	zcrwu
U+2FA19	鼅	zcorb,zcorr
U+2FA1A	鼏	zcbbu
U+2FA1B	鼖	zcjtg
U+2FA1C	鼻	zchuw
U+2FA1D	𪘀	zcyuy
